-0.012162 0.001065 0.033965
-0.037007 -0.033833 -0.061135
-0.031954 -0.044317 -0.099029
0.103463 0.215006 0.023272
-0.044559 -0.098952 0.063226
0.067649 0.061258 0.039867
-0.501795 -0.101741 0.010357
-0.006174 0.014824 0.010619
0.083914 -0.015539 0.009912
0.011446 -0.014152 0.001586
0.005326 0.009014 0.010672
-0.021679 -0.090162 0.011299
-0.015915 0.002076 -0.007120
0.000294 -0.015301 -0.004117
0.650937 0.333235 0.156908
0.040235 -0.043156 -0.031100
-0.087019 -0.071312 -0.017266
-0.037051 -0.055082 0.019001
-0.085264 -0.106913 -0.059042
0.031362 0.007154 -0.021463
-0.074571 0.017477 -0.057976
-0.024000 0.015361 -0.033134
-0.004801 0.002302 -0.000539
-0.001081 0.001816 -0.001396
0.001267 0.002898 0.004117
-0.011496 0.007673 -0.002501
